_0_Squad,_0_# Pl,_0_90s,SCA_1_SCA,SCA_1_SCA90,SCATypes_2_PassLive,SCATypes_2_PassDead,SCATypes_2_TO,SCATypes_2_Sh,SCATypes_2_Fld,SCATypes_2_Def,GCA_3_GCA,GCA_3_GCA90,GCATypes_4_PassLive,GCATypes_4_PassDead,GCATypes_4_TO,GCATypes_4_Sh,GCATypes_4_Fld,GCATypes_4_Def
Arsenal,23,15.0,414,27.60,305,37,23,31,12,6,57,3.80,33,7,4,6,7,0
Aston Villa,24,14.0,363,25.93,264,33,17,32,12,5,54,3.86,39,2,4,4,4,1
Bournemouth,25,14.0,301,21.50,222,21,22,17,10,9,23,1.64,16,0,2,2,0,3
Brentford,26,14.0,348,24.86,237,43,12,32,18,6,32,2.29,22,2,1,3,4,0
Brighton,27,14.0,362,25.86,266,29,25,23,16,3,52,3.71,37,2,6,3,3,1
Burnley,26,15.0,287,19.13,193,35,21,21,14,3,30,2.00,23,0,5,1,1,0
Chelsea,24,14.0,330,23.57,235,20,30,18,18,9,43,3.07,26,3,4,3,5,2
Crystal Palace,22,14.0,292,20.86,196,30,18,24,17,7,26,1.86,21,1,2,0,2,0
Everton,23,14.0,340,24.29,240,33,13,29,14,11,23,1.64,15,2,0,5,0,1
Fulham,23,14.0,264,18.86,196,22,16,16,10,4,25,1.79,20,1,0,2,2,0
Liverpool,23,14.0,440,31.43,327,41,14,37,19,2,46,3.29,35,2,1,6,2,0
Luton Town,23,15.0,281,18.73,197,33,17,17,11,6,26,1.73,16,3,1,4,2,0
Manchester City,25,14.0,432,30.86,337,24,22,23,24,2,64,4.57,47,2,4,6,5,0
Manchester Utd,26,14.0,344,24.57,260,24,26,13,14,7,29,2.07,20,2,3,1,2,1
Newcastle Utd,30,14.0,337,24.07,242,20,28,21,19,7,53,3.79,34,2,6,4,5,2
Nott'ham Forest,28,14.0,277,19.79,194,29,16,19,13,6,31,2.21,25,0,2,1,2,1
Sheffield Utd,27,14.0,189,13.50,139,20,7,13,7,3,10,0.71,7,1,0,1,1,0
Tottenham,25,14.0,388,27.71,289,23,22,27,16,11,48,3.43,38,3,4,1,1,1
West Ham,21,14.0,293,20.93,193,43,20,15,15,7,42,3.00,30,5,2,2,1,2
Wolves,23,15.0,293,19.53,188,31,30,21,18,5,34,2.27,20,4,4,3,2,1
